id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_2958,"Prosciutto Di Parma","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/Prosciutto-di-parma.jpg,https://latablita.com.ar/tienda/prosciutto-di-parma/?attribute_pa_peso=03-300-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",2697ARS,in stock,wc_post_id_2953,https://latablita.com.ar/carrito/?add-to-cart=2953&variation_id=2958&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2697ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
wc_post_id_2917,"Queso Azul La Tablita","Peso: 04 -400 grs",https://latablita.com.ar/wp-content/uploads/2020/11/azul-la-tablita.jpg,https://latablita.com.ar/tienda/queso-azul-la-tablita/?attribute_pa_peso=04-400-grs,"Quesos, Azules","Fiambrería La Tablita",760ARS,in stock,wc_post_id_2914,https://latablita.com.ar/carrito/?add-to-cart=2914&variation_id=2917&attribute_pa_peso=04-400-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,760ARS,new,published,,"peso:02 - 200 grs/04 -400 grs:04 -400 grs"
wc_post_id_2916,"Queso Azul La Tablita","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/azul-la-tablita.jpg,https://latablita.com.ar/tienda/queso-azul-la-tablita/?attribute_pa_peso=02-200-grs,"Quesos, Azules","Fiambrería La Tablita",380ARS,in stock,wc_post_id_2914,https://latablita.com.ar/carrito/?add-to-cart=2914&variation_id=2916&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,380ARS,new,published,,"peso:02 - 200 grs/04 -400 grs:02 - 200 grs"
wc_post_id_2910,"BOX 35 ANIVERSARIO III QUESOS DUROS","Cumplimos 35 años y lo vamos a súper festejar 
 
Y por nuestro aniversario sacamos 3 KITS  “CONOCÉ EL MUNDO LA TABLITA” 
 
La idea en cada uno, es que encuentres distintas alternativas, de quesos que afinamos nosotros, desde quesos suaves, rellenos, estacionados, como también de cabra y oveja. 
 
Ideal para regalar o auto regalarse, ¿Qué esperas para vivir una experiencia nueva de sabores? 
 
  
 
  QUESO DOS LECHES ( QUESO CON LECHE DE VACA Y CABRA) 
  CANTAL 
  PARMESANO DE CABRA 
  MANCHEGO (QUESO DE OVEJA) 
  FONTINA SUIPACHENCE ESTACIONADO 
  AZUL LA TABLITA (LO INFILTRAMOS EN LOS DUROS PORQUE NO PODES PERDER LA OPORTUNIDAD DE PROBARLO, ES MUY SUAVE Y CREMOSO)",https://latablita.com.ar/wp-content/uploads/2020/11/BOX-3.jpg,https://latablita.com.ar/tienda/box-35-aniversario-iii-quesos-duros/,"Box","Fiambrería La Tablita",4290ARS,in stock,wc_post_id_2910,https://latablita.com.ar/carrito/?add-to-cart=2910,"https://latablita.com.ar/wp-content/uploads/2020/11/BOX-33.jpg,https://latablita.com.ar/wp-content/uploads/2020/11/cajas-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4290ARS,new,published,,
wc_post_id_2906,"BOX 35 ANIVERSARIO II AGRIDULCES","Cumplimos 35 años y lo vamos a súper festejar 
 
Y por nuestro aniversario sacamos 3 KITS  “CONOCÉ EL MUNDO LA TABLITA” 
 
La idea en cada uno, es que encuentres distintas alternativas, de quesos que afinamos nosotros, desde quesos suaves, rellenos, estacionados, como también de cabra y oveja. 
 
Ideal para regalar o auto regalarse, ¿Qué esperas para vivir una experiencia nueva de sabores? 
 
  
 
  BLUE BRIE CON NUEZ O SOLO 
  MORBIER 
  LEMONGRASS (QUESO SUAVE AFINADO CON LIMON, NARANJA Y MENTA) 
  AZULCHOCOLAT (QUESO AZUL CON CHOCOLATE Y AVELLANA) 
  PARRA DE CABRA (QUESO DE CABRA AFINADO CON HOJAS DE PARRAS Y PIMENTON) 
  JAMON CRUDO LA TABLITA 
  MIX DE CHOCOLATES",https://latablita.com.ar/wp-content/uploads/2020/11/BOX-22.jpg,https://latablita.com.ar/tienda/box-aniversario-ii-agridulces/,"Box","Fiambrería La Tablita",4490ARS,in stock,wc_post_id_2906,https://latablita.com.ar/carrito/?add-to-cart=2906,"https://latablita.com.ar/wp-content/uploads/2020/11/BOX-2.jpg,https://latablita.com.ar/wp-content/uploads/2020/11/cajas-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4490ARS,new,published,,
F9_2901,"Jamón Crudo Serrano con Pimienta","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2019/11/foto-71.jpg,https://latablita.com.ar/tienda/taquito-de-jamon-crudo-importado-2/?attribute_pa_peso=01-100-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",350ARS,in stock,F9_972,https://latablita.com.ar/carrito/?add-to-cart=972&variation_id=2901&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
F9_2902,"Jamón Crudo Serrano con Pimienta","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2019/11/foto-71.jpg,https://latablita.com.ar/tienda/taquito-de-jamon-crudo-importado-2/?attribute_pa_peso=02-200-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",700ARS,in stock,F9_972,https://latablita.com.ar/carrito/?add-to-cart=972&variation_id=2902&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,700ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
F9_2903,"Jamón Crudo Serrano con Pimienta","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2019/11/foto-71.jpg,https://latablita.com.ar/tienda/taquito-de-jamon-crudo-importado-2/?attribute_pa_peso=03-300-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",1050ARS,in stock,F9_972,https://latablita.com.ar/carrito/?add-to-cart=972&variation_id=2903&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1050ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
F20_2894,"Jamón Crudo Tipo Italiano","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg,https://latablita.com.ar/tienda/jamon-crudo-tipo-italiano/?attribute_pa_peso=01-100-grs,"Aptos Celiacos, Fiambres, Jamón Crudo","Fiambrería La Tablita",440ARS,in stock,F20_974,https://latablita.com.ar/carrito/?add-to-cart=974&variation_id=2894&attribute_pa_peso=01-100-grs,"https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,440ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
F20_2895,"Jamón Crudo Tipo Italiano","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg,https://latablita.com.ar/tienda/jamon-crudo-tipo-italiano/?attribute_pa_peso=02-200-grs,"Aptos Celiacos, Fiambres, Jamón Crudo","Fiambrería La Tablita",880ARS,in stock,F20_974,https://latablita.com.ar/carrito/?add-to-cart=974&variation_id=2895&attribute_pa_peso=02-200-grs,"https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,880ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
F20_2896,"Jamón Crudo Tipo Italiano","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg,https://latablita.com.ar/tienda/jamon-crudo-tipo-italiano/?attribute_pa_peso=03-300-grs,"Aptos Celiacos, Fiambres, Jamón Crudo","Fiambrería La Tablita",1320ARS,in stock,F20_974,https://latablita.com.ar/carrito/?add-to-cart=974&variation_id=2896&attribute_pa_peso=03-300-grs,"https://latablita.com.ar/wp-content/uploads/2020/06/Jamon-crudo-Tipo-Italiano.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1320ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
F21_2892,"Bresaola","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/06/bresaola.jpg,https://latablita.com.ar/tienda/bresaola/?attribute_pa_peso=02-200-grs,"Fiambres","Fiambrería La Tablita",1198ARS,in stock,F21_1002,https://latablita.com.ar/carrito/?add-to-cart=1002&variation_id=2892&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1198ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
